scope,case,version,metric,n,mean,std,cv,se,ci_low,ci_high,confidence,reliability
group,WordPress,v2,graph_edit_distance,11,27.454545454545453,10.250498879212039,37.33625419580544,3.0906416996640806,21.85287752936662,33.056213379724284,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v2,validity_edit_distance,11,15.272727272727273,8.223027533590157,53.84125170803079,2.4793360881527398,10.779027002568787,19.766427542885758,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v3,graph_edit_distance,16,33.4375,10.301901119049177,30.809423907436788,2.575475279762294,28.922562144735327,37.95243785526467,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,WordPress,v3,validity_edit_distance,16,21.875,10.157919734538826,46.436204500748914,2.5394799336347065,17.423163799067574,26.326836200932426,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,eWeLink,v1,graph_edit_distance,7,19.0,3.7859388972001824,19.925994195790434,1.4309504001254019,16.219405400080838,21.780594599919162,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,eWeLink,v1,validity_edit_distance,7,9.428571428571429,4.2370250120079485,44.938144066750965,1.6014449257904988,6.316675228444041,12.540467628698817,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,eWeLink,v2,graph_edit_distance,8,27.25,7.245688373094719,26.58968210309989,2.5617376914898995,22.396586577924097,32.1034134220759,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,eWeLink,v2,validity_edit_distance,8,16.0,9.19627253681776,57.476703355111006,3.251373336211726,9.840017640146467,22.159982359853533,0.9,"bassa (5≤n<10, risultati da interpretare con cautela)"
group,eWeLink,v3,graph_edit_distance,16,22.125,5.031567018997825,22.741545848577744,1.2578917547494564,19.919852411913734,24.330147588086266,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
group,eWeLink,v3,validity_edit_distance,16,14.5,6.0553007081949835,41.76069453927575,1.5138251770487459,11.846188234918351,17.15381176508165,0.9,"moderata (10≤n<30, IC ragionevole ma campione contenuto)"
