case,version,mode,RAG,n,mean_value,is_binary_index,global_mean,p_value,significant,direction_raw,direction_vs_better,n_too_small_for_test,low_variance_group
WordPress,v1,notsummarized,0,10,232933.5,False,475476.4715789474,0.00040060841601996197,True,lower,better,False,False
WordPress,v1,summarized,0,11,343661.0,False,475476.4715789474,0.1190784105255548,False,not_significant,,False,False
WordPress,v2,notsummarized,0,10,172255.3,False,475476.4715789474,1.7982684368897617e-05,True,lower,better,False,False
WordPress,v2,summarized,0,10,355586.7,False,475476.4715789474,0.1521104661985681,False,not_significant,,False,False
WordPress,v3,notsummarized,0,10,338454.2,False,475476.4715789474,0.05575009593122954,True,lower,better,False,False
WordPress,v3,summarized,0,10,334924.3,False,475476.4715789474,0.17184597631452952,False,not_significant,,False,False
eWeLink,v1,notsummarized,0,10,315592.8,False,475476.4715789474,0.015207339034623926,True,lower,better,False,False
eWeLink,v1,summarized,0,6,518650.1666666667,False,475476.4715789474,0.7678517857592246,False,not_significant,,False,False
eWeLink,v2,notsummarized,0,8,240263.375,False,475476.4715789474,0.002074343245850898,True,lower,better,False,False
eWeLink,v2,summarized,0,9,467969.0,False,475476.4715789474,0.9036987739783022,False,not_significant,,False,False
eWeLink,v3,notsummarized,0,9,235596.88888888888,False,475476.4715789474,0.002012567066248381,True,lower,better,False,False
eWeLink,v3,summarized,0,10,444056.7,False,475476.4715789474,0.7987205798663105,False,not_significant,,False,False
