id,created_at,updated_at,iterations,generated_macms,llm_logs,apps,version,tags
1058a68e-dc76-4bf9-aaa2-51444b884cd8,2026-01-05 17:27:27+00:00,2026-01-05 17:40:40+00:00,19,0,79,JetRacer,v1,
a8a27143-de3e-41df-a34b-1688b177fa22,2026-01-05 16:43:27+00:00,2026-01-05 17:27:21+00:00,21,1,86,BookInfo,v3,
ce15308d-33c2-49cc-bd39-397b82af5c4e,2026-01-05 15:52:35+00:00,2026-01-05 16:43:27+00:00,30,0,119,BookInfo,v3,
2f280664-dac8-4295-a124-4fa6d05ac8e4,2026-01-05 14:59:21+00:00,2026-01-05 15:52:35+00:00,30,0,122,BookInfo,v2,
8175015c-988e-4a30-8e37-c1a1f9b65f19,2026-01-05 14:07:53+00:00,2026-01-05 14:59:21+00:00,30,0,120,BookInfo,v2,
ecd856d1-f6a3-4085-9b9a-bab620431f85,2026-01-05 13:16:00+00:00,2026-01-05 14:07:53+00:00,30,0,122,BookInfo,v1,
d6c7adec-5878-489f-a901-31a57e083ea0,2026-01-05 12:31:28+00:00,2026-01-05 13:16:00+00:00,30,0,120,BookInfo,v1,
52e19272-35af-4ac7-b27e-a490ef4f049f,2026-01-05 12:23:55+00:00,2026-01-05 12:28:13+00:00,5,1,20,BookInfo,v3,
626b6603-94b7-4589-a862-44d82242f367,2026-01-05 11:51:51+00:00,2026-01-05 12:23:55+00:00,30,0,122,BookInfo,v2,
ba5f49ca-5efc-4a09-a5a5-8a1a535b8410,2026-01-05 11:32:34+00:00,2026-01-05 11:51:50+00:00,27,1,108,BookInfo,v2,
26dbd9f9-2ae5-4745-8ad1-ee8baacbe00f,2026-01-05 10:53:23+00:00,2026-01-05 11:32:34+00:00,30,0,122,BookInfo,v1,
9713e932-cfd8-481a-b0df-882a34a1e00b,2026-01-05 10:32:20+00:00,2026-01-05 10:53:23+00:00,30,0,120,BookInfo,v1,
47ddc41c-948b-4b99-a60c-ca3f40d96619,2025-12-21 21:09:24+00:00,2025-12-21 21:23:42+00:00,6,0,27,JetRacer,v3,
3498c198-7e5c-47ec-9e63-05d683fbd3bc,2025-12-21 20:40:18+00:00,2025-12-21 21:09:24+00:00,11,1,46,JetRacer,v2,
67fb7c62-a432-4830-9df6-0531329695aa,2025-12-21 20:10:19+00:00,2025-12-21 20:40:15+00:00,13,1,52,JetRacer,v2,
31e2872d-92e0-407b-ac10-98b035e6219d,2025-12-21 19:42:30+00:00,2025-12-21 20:10:19+00:00,11,1,46,JetRacer,v1,
30dab6c0-9f04-4c6d-a9bc-f2027b6e3b2f,2025-12-21 19:18:16+00:00,2025-12-21 19:42:30+00:00,12,1,48,JetRacer,v1,
42bf9b6f-55ab-4492-8e9c-c34c0ab0cfdd,2025-12-21 19:05:00+00:00,2025-12-21 19:18:16+00:00,8,1,34,JetRacer,v3,
e618191c-924a-46e4-baf4-63882efce1ec,2025-12-21 19:01:10+00:00,2025-12-21 19:04:59+00:00,4,1,16,JetRacer,v3,
54caca4e-c21e-495a-9b75-1109263bbe29,2025-12-21 18:17:00+00:00,2025-12-21 19:01:10+00:00,30,0,122,JetRacer,v2,
900ae284-0cd9-4217-9d82-5f4136dbb4d1,2025-12-21 17:58:50+00:00,2025-12-21 18:17:00+00:00,30,0,120,JetRacer,v2,
d96f310c-cfa1-4e2a-94c6-491877077d65,2025-12-21 17:11:56+00:00,2025-12-21 17:58:50+00:00,30,0,122,JetRacer,v1,
9383cfaf-ad72-4583-8ae1-f8e6eb1c31f3,2025-12-21 16:44:56+00:00,2025-12-21 17:11:56+00:00,30,0,120,JetRacer,v1,
fc8df72f-d65f-4da3-be86-5f1c588fd059,2025-12-21 16:13:37+00:00,2025-12-21 16:44:50+00:00,12,1,50,BookInfo,v3,
365124b4-f38e-4973-937d-a5b859503f7a,2025-12-21 15:38:59+00:00,2025-12-21 16:13:37+00:00,17,1,68,BookInfo,v3,
3b142d70-5155-4f54-b64e-06793a4da3a1,2025-12-21 14:45:27+00:00,2025-12-21 15:38:04+00:00,21,0,88,BookInfo,v2,
8ef48e08-fce9-4103-86d7-7b4ef8374686,2025-12-21 14:34:36+00:00,2025-12-21 14:45:26+00:00,7,1,28,BookInfo,v2,
57902e55-656c-4836-8b86-4c2f01935a2c,2025-12-21 13:34:38+00:00,2025-12-21 14:34:35+00:00,28,1,114,BookInfo,v1,
8fb1d027-6f0f-4888-bf85-293ea00f43b4,2025-12-21 12:46:33+00:00,2025-12-21 13:34:38+00:00,30,0,120,BookInfo,v1,
350fdff5-eb7c-4925-aa71-a2457f320cbf,2025-12-21 12:06:45+00:00,2025-12-21 12:46:32+00:00,30,0,122,BookInfo,v3,
b9d96be3-e585-4b11-abfa-acb1a9b338bf,2025-12-21 11:40:57+00:00,2025-12-21 12:06:45+00:00,30,0,120,BookInfo,v3,
1e998337-808e-4b1d-8286-62717f474b91,2025-12-21 10:52:16+00:00,2025-12-21 11:40:56+00:00,30,0,122,BookInfo,v2,
3af5ee12-cbab-4e85-bf03-11af8bceaa79,2025-12-21 10:28:38+00:00,2025-12-21 10:52:16+00:00,30,0,120,BookInfo,v2,
33aa2f1b-5bc2-45fc-8655-65c2e11b9334,2025-12-21 10:18:53+00:00,2025-12-21 10:28:38+00:00,9,1,38,BookInfo,v1,
daa9accf-0a0b-4e33-bcfe-5e181a7fd47e,2025-12-21 09:58:35+00:00,2025-12-21 10:18:53+00:00,30,0,120,BookInfo,v1,
e5c12cfa-a28d-4d5a-8c6d-22f707327e08,2025-12-21 09:24:48+00:00,2025-12-21 09:58:29+00:00,26,1,106,eWeLink,v3,
33beddb8-0cf5-4862-951c-de01eadbf3f4,2025-12-21 09:16:39+00:00,2025-12-21 09:24:47+00:00,8,1,32,eWeLink,v3,
