app_id,session_id,version,rag,summarized,true_positives,false_positives,false_negatives,precision,recall,f1_score,reference_total,session_total
Open Energy Monitor,2e38d6a4-f9aa-4c65-a832-341ad96cbc1d,v3,0,0,48,0,92,1.0,0.3429,0.5106,140,48
Open Energy Monitor,0671e997-7f45-487e-8cdf-8184b3b4b676,v3,0,1,53,25,87,0.6795,0.3786,0.4862,140,78
Open Energy Monitor,f0cca0a9-fa82-4feb-bfa4-949d24f74e50,v3,1,0,72,0,68,1.0,0.5143,0.6792,140,72
Open Energy Monitor,081f00c5-51cf-4edc-a244-0ccae54d41d3,v3,1,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,eaaa94a8-d4ac-4890-ba03-5b3691e6aa48,v3,0,0,38,26,102,0.5938,0.2714,0.3725,140,64
Open Energy Monitor,fed775ff-733e-435f-bf3d-6f26cb712100,v3,0,1,44,29,96,0.6027,0.3143,0.4131,140,73
Open Energy Monitor,da8c8664-5c5c-4c4f-9493-e2cb304cc080,v3,1,0,47,12,93,0.7966,0.3357,0.4724,140,59
Open Energy Monitor,76c5c740-3ddc-4bef-9f22-628dbc815bf2,v3,1,1,65,12,75,0.8442,0.4643,0.5991,140,77
Open Energy Monitor,ab851970-a9eb-4f19-a29a-5a10936ca557,v3,1,1,64,34,76,0.6531,0.4571,0.5378,140,98
Open Energy Monitor,75e56de0-83da-4813-ae5a-a4b2b941b071,v3,0,0,53,42,87,0.5579,0.3786,0.4511,140,95
Open Energy Monitor,61819e23-9a0f-479c-9592-cd39b3f08a8e,v3,0,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,071c8af0-55ea-469b-bad3-c3e5ddbe9b9f,v3,1,0,72,0,68,1.0,0.5143,0.6792,140,72
Open Energy Monitor,95003fcd-8bfb-4e30-b153-3482273a9497,v3,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,5d38ab90-8794-4e79-bacf-a47fc09a77e3,v3,0,1,24,12,116,0.6667,0.1714,0.2727,140,36
Open Energy Monitor,04455809-1168-4f18-be2f-f888b8dcf8d9,v3,0,1,53,45,87,0.5408,0.3786,0.4454,140,98
Open Energy Monitor,d803f541-1af6-42fd-b316-bca9e14b726e,v3,0,0,38,16,102,0.7037,0.2714,0.3918,140,54
Open Energy Monitor,bb6e1ca9-11df-48f0-9b30-2f6402628988,v3,0,0,48,0,92,1.0,0.3429,0.5106,140,48
Open Energy Monitor,73331a2a-0cf7-44d2-8979-2a9cb48d871e,v3,1,1,53,24,87,0.6883,0.3786,0.4885,140,77
Open Energy Monitor,af7540a3-e201-478f-a4b1-814c25265789,v3,1,0,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,4d36a607-4b32-4abd-a3da-9ea72cb399c4,v3,0,1,64,33,76,0.6598,0.4571,0.5401,140,97
Open Energy Monitor,95b51fdc-00bb-4538-b9d8-964f5c8fd2e6,v3,1,0,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,168d5b32-3150-4f9b-8895-f268458168d0,v3,1,1,65,0,75,1.0,0.4643,0.6341,140,65
Open Energy Monitor,146fb716-3866-4d26-b213-c11a9f9f4c4c,v3,0,1,80,79,60,0.5031,0.5714,0.5351,140,159
Open Energy Monitor,6228b68f-7947-4033-977a-9bbe1afbda25,v3,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,f0b0e57c-3308-4727-aef4-ef7de140305f,v3,0,0,44,0,96,1.0,0.3143,0.4783,140,44
Open Energy Monitor,952b5634-2f63-4b04-89f3-70c492abe59c,v3,1,1,72,12,68,0.8571,0.5143,0.6429,140,84
Open Energy Monitor,3111e3ba-1fb2-467e-8df1-1408637d9b89,v3,0,1,80,0,60,1.0,0.5714,0.7273,140,80
Open Energy Monitor,abde0f1e-32c5-4028-a218-110f09a91a1b,v3,1,0,63,0,77,1.0,0.45,0.6207,140,63
Open Energy Monitor,6f6176b7-3132-47e5-b447-2e1e6b5f59dd,v3,1,0,72,0,68,1.0,0.5143,0.6792,140,72
Open Energy Monitor,10846bfa-82ba-4db8-9506-108816b28c0c,v3,0,0,53,0,87,1.0,0.3786,0.5492,140,53
Open Energy Monitor,0fe3f365-086d-4ba7-9aee-cfe7d7cffa08,v3,0,1,53,55,87,0.4907,0.3786,0.4274,140,108
Open Energy Monitor,961f1e99-11a6-449e-aef9-fd1c21bc37af,v3,0,0,20,28,120,0.4167,0.1429,0.2128,140,48
Open Energy Monitor,36a3a515-cbda-4c83-b488-f713f62f7899,v3,1,0,83,17,57,0.83,0.5929,0.6917,140,100
Open Energy Monitor,ae35f84d-7906-40c9-93b6-4dc7c6c8df59,v3,0,0,0,0,140,0.0,0.0,0.0,140,0
Stack4Things,f528e781-734e-47fd-8cf1-f5b9b23a8b1c,v3,1,0,38,5,401,0.8837,0.0866,0.1577,439,43
WordPress,8c69edf0-03a1-4106-ac15-47710a147d4f,v3,0,0,105,12,12,0.8974,0.8974,0.8974,117,117
WordPress,5b812e2c-11d0-446f-894f-3983b83e049d,v3,0,1,27,98,90,0.216,0.2308,0.2231,117,125
WordPress,939e2e9f-2847-4190-bb16-f7a7e3212d0a,v3,0,0,105,36,12,0.7447,0.8974,0.814,117,141
WordPress,3d791de6-d9ea-4701-9bc4-ddbcc487e3d4,v3,0,0,105,12,12,0.8974,0.8974,0.8974,117,117
WordPress,5f6130ab-0657-44c4-a78c-d76d73e954d4,v3,0,1,57,72,60,0.4419,0.4872,0.4634,117,129
WordPress,f242f00f-94d5-434c-96ca-1f06850222d2,v3,0,0,105,12,12,0.8974,0.8974,0.8974,117,117
WordPress,04daf06f-f800-48b9-9c59-3fae5b02a0e1,v3,0,0,105,12,12,0.8974,0.8974,0.8974,117,117
WordPress,e28d1690-b4ba-4d44-aefa-4c4003ca9924,v3,0,0,117,0,0,1.0,1.0,1.0,117,117
WordPress,5d8a054e-6c29-4b22-881b-521f98717b2a,v3,0,1,57,51,60,0.5278,0.4872,0.5067,117,108
WordPress,17f696b6-4a6c-4f1b-a760-0fb1f34f2faa,v3,0,1,48,63,69,0.4324,0.4103,0.4211,117,111
WordPress,6793527d-37c8-4820-b5cf-2e620330bb63,v3,0,1,47,12,70,0.7966,0.4017,0.5341,117,59
WordPress,a80d0535-efb2-4f81-af77-cb4860a93a50,v3,0,1,26,63,91,0.2921,0.2222,0.2524,117,89
WordPress,52a1876f-d0a3-4b30-91ae-c67b09588cbb,v3,0,1,57,63,60,0.475,0.4872,0.481,117,120
WordPress,0be408e1-0ef5-4df3-bc30-9b009aeba06e,v3,0,1,24,78,93,0.2353,0.2051,0.2192,117,102
WordPress,2fbfb9b4-c25a-432c-a7c1-c76f9ac01cf8,v3,0,1,38,39,79,0.4935,0.3248,0.3918,117,77
WordPress,eb9cf520-4443-41ec-961b-01f37ac6586b,v3,0,0,105,12,12,0.8974,0.8974,0.8974,117,117
