app_id,session_id,version,rag,summarized,true_positives,false_positives,false_negatives,precision,recall,f1_score,reference_total,session_total
Open Energy Monitor,e5d31e0e-ecf6-4e87-8cf9-f32845988794,v2,0,1,44,29,96,0.6027,0.3143,0.4131,140,73
Open Energy Monitor,eaaa94a8-d4ac-4890-ba03-5b3691e6aa48,v3,0,0,38,26,102,0.5938,0.2714,0.3725,140,64
Open Energy Monitor,fed775ff-733e-435f-bf3d-6f26cb712100,v3,0,1,44,29,96,0.6027,0.3143,0.4131,140,73
Open Energy Monitor,d163e66f-9358-4637-ab62-f19ffd51de38,v1,1,0,71,0,69,1.0,0.5071,0.673,140,71
Open Energy Monitor,e0233200-d40a-4727-82ea-0dcb45498e27,v1,1,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,3583406b-bc7d-42da-8f41-64acfe6b2c2f,v2,1,0,83,0,57,1.0,0.5929,0.7444,140,83
Open Energy Monitor,da8c8664-5c5c-4c4f-9493-e2cb304cc080,v3,1,0,47,12,93,0.7966,0.3357,0.4724,140,59
Open Energy Monitor,76c5c740-3ddc-4bef-9f22-628dbc815bf2,v3,1,1,65,12,75,0.8442,0.4643,0.5991,140,77
Open Energy Monitor,ab851970-a9eb-4f19-a29a-5a10936ca557,v3,1,1,64,34,76,0.6531,0.4571,0.5378,140,98
Open Energy Monitor,75e56de0-83da-4813-ae5a-a4b2b941b071,v3,0,0,53,42,87,0.5579,0.3786,0.4511,140,95
Open Energy Monitor,61819e23-9a0f-479c-9592-cd39b3f08a8e,v3,0,1,53,12,87,0.8154,0.3786,0.5171,140,65
Open Energy Monitor,a8c4001a-57d8-409d-ad2b-4feb2d1a9e24,v1,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,cbec6241-c863-436e-8c21-82bd73ac3f10,v2,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,071c8af0-55ea-469b-bad3-c3e5ddbe9b9f,v3,1,0,72,0,68,1.0,0.5143,0.6792,140,72
Open Energy Monitor,95003fcd-8bfb-4e30-b153-3482273a9497,v3,1,1,60,12,80,0.8333,0.4286,0.566,140,72
Open Energy Monitor,5d38ab90-8794-4e79-bacf-a47fc09a77e3,v3,0,1,24,12,116,0.6667,0.1714,0.2727,140,36
Open Energy Monitor,cd903187-d914-4688-91ee-4e0a0cb85ffc,v2,0,0,20,0,120,1.0,0.1429,0.25,140,20
Open Energy Monitor,3e6ba00f-666f-464d-be54-b2a95716a2e6,v1,1,0,58,24,82,0.7073,0.4143,0.5225,140,82
Open Energy Monitor,04455809-1168-4f18-be2f-f888b8dcf8d9,v3,0,1,53,45,87,0.5408,0.3786,0.4454,140,98
Open Energy Monitor,bfde1617-941f-4972-8143-a14b8af660fc,v1,0,1,61,24,79,0.7176,0.4357,0.5422,140,85
Open Energy Monitor,887a256f-fb02-4118-9f34-9a92a01185f5,v2,0,1,72,35,68,0.6729,0.5143,0.583,140,107
Open Energy Monitor,d803f541-1af6-42fd-b316-bca9e14b726e,v3,0,0,38,16,102,0.7037,0.2714,0.3918,140,54
Open Energy Monitor,bb6e1ca9-11df-48f0-9b30-2f6402628988,v3,0,0,48,0,92,1.0,0.3429,0.5106,140,48
Open Energy Monitor,60b078da-cf4d-4b44-b5a8-f009467bdfe7,v2,0,0,44,0,96,1.0,0.3143,0.4783,140,44
Open Energy Monitor,3eead83f-050f-4c04-b1d9-3d7c471c1c93,v1,0,1,46,12,94,0.7931,0.3286,0.4646,140,58
Open Energy Monitor,2e0d1a33-0946-498c-acca-88d4ff48c21d,v1,0,1,44,17,96,0.7213,0.3143,0.4378,140,61
Open Energy Monitor,cf14879b-cb2d-4512-b1d4-9ce44c20909c,v2,1,0,71,12,69,0.8554,0.5071,0.6368,140,83
