case,version,RAG,mode,iterations,created at,updated at,graph_edit_distance,validity_edit_distance
WordPress,v3,0,summarized,27,,,49,35
Open Energy Monitor,v2,1,notsummarized,24,,,39,11
Open Energy Monitor,v3,0,summarized,7,,,60,34
eWeLink,v3,0,summarized,3,,,17,17
Open Energy Monitor,v3,1,summarized,18,,,45,13
Open Energy Monitor,v2,1,summarized,13,,,53,13
eWeLink,v1,0,notsummarized,14,,,17,10
WordPress,v1,0,notsummarized,8,,,17,7
JetRacer,v3,1,notsummarized,11,,,85,34
WordPress,v1,0,summarized,5,,,33,13
Open Energy Monitor,v2,0,summarized,19,,,58,21
Open Energy Monitor,v2,1,notsummarized,11,,,51,11
JetRacer,v3,1,summarized,4,,,71,22
WordPress,v2,0,summarized,13,,,29,23
WordPress,v3,0,summarized,20,,,53,45
Open Energy Monitor,v3,0,notsummarized,4,,,55,7
Open Energy Monitor,v3,1,summarized,11,,,46,9
WordPress,v1,0,notsummarized,18,,,16,8
Open Energy Monitor,v3,0,summarized,5,,,53,16
WordPress,v3,0,summarized,9,,,36,25
eWeLink,v1,0,notsummarized,10,,,19,9
WordPress,v3,0,notsummarized,9,,,24,11
WordPress,v2,0,summarized,2,,,34,17
WordPress,v1,0,notsummarized,19,,,19,9
eWeLink,v2,0,notsummarized,11,,,27,10
