group1,group2,meandiff,p-adj,lower,upper,reject
v1,v2,-9.1577,0.4086,-26.0993,7.7839,False
v1,v3,-9.3788,0.2951,-24.2102,5.4526,False
v2,v3,-0.2211,0.9994,-15.6528,15.2105,False
