,sum_sq,df,F,PR(>F)
C(case),6944.763541191289,5.0,10.58536533732184,1.6331520934536655e-08
C(version),68.63113928064097,2.0,0.26152282885271017,0.7702918838692233
C(case):C(version),890.0800755346686,10.0,0.678340070408595,0.7428714917897212
Residual,16664.232959850608,127.0,,
